player_id,player_name,team_abbreviation,team_short_name,team_name,position,minutes_played,goals_added_raw_dribbling,goals_added_raw_fouling,goals_added_raw_interrupting,goals_added_raw_passing,goals_added_raw_receiving,goals_added_raw_shooting,goals_added_above_avg_dribbling,goals_added_above_avg_fouling,goals_added_above_avg_interrupting,goals_added_above_avg_passing,goals_added_above_avg_receiving,goals_added_above_avg_shooting,season_name,base_salary,guaranteed_compensation,mlspa_release,birth_date,nationality,height_ft,height_in,weight_lb
xW5pr8kKQg,Braian Cufré,NYC,New York City,New York City FC,FB,2072,-0.4353,0.1788,1.8718,0.1855,0.8275,0.4838,-0.5766,0.2608,0.5856,-0.5943,0.2020,0.1817,2023,672000,757800,2023-09-15,1996-12-15,Argentina,5,10,181
xW5prAjYQg,Raoul Petretta,TOR,Toronto,Toronto FC,FB,1894,-0.0728,-0.2924,1.2538,0.6184,0.4285,0.1531,-0.2127,-0.1943,0.0333,-0.1756,-0.0003,-0.0744,2023,625000,856625,2023-09-15,1997-03-24,Italy,5,9,154
xW5prbllQg,Artur,HOU,Houston,Houston Dynamo FC,DM,3539,-0.0221,-0.3539,4.0340,1.4941,0.3518,0.4771,-0.4053,-0.2434,1.3964,-0.0104,-0.8282,-0.2629,2023,600000,651633,2023-09-15,1996-03-11,Brazil,5,11,150
xW5prK4BQg,Ariel Lassiter,MTL,Montréal,CF Montréal,FB,1915,0.1213,0.0287,0.7493,-0.1073,0.9938,1.0333,-0.0277,0.0511,-0.3952,-0.7242,0.0886,0.6022,2023,220000,240280,2023-09-15,1994-09-27,Costa Rica,5,10,154
xW5prl1KQg,Dominique Badji,CIN,Cincinnati,FC Cincinnati,ST,1218,0.0724,0.5306,0.3258,-0.4524,2.1569,0.7101,0.2716,0.3621,-0.0939,-0.0616,-0.3024,-0.1757,2023,550000,605000,2023-09-15,1992-10-16,Senegal,6,0,170
xW5pxaa95g,Jesús David Murillo,LAFC,Los Angeles FC,Los Angeles FC,CB,2088,0.1084,-0.0831,1.8142,1.0460,0.7694,0.4095,0.0676,0.1342,0.1983,-0.0942,0.3081,0.1759,2023,450000,509500,2023-09-15,1994-02-18,Colombia,6,0,159
xW5pxRGB5g,Thiago Martins,NYC,New York City,New York City FC,CB,2458,0.3809,-0.3229,2.4242,1.7616,0.3020,0.1209,0.3330,-0.0670,0.5219,0.4193,-0.2412,-0.1540,2023,1650000,2112000,2023-09-15,1995-03-17,Brazil,6,1,168
xW5pybLJqg,Gaston Gonzalez,ORL,Orlando City,Orlando City SC,W,831,0.0007,-0.0775,0.3363,-0.2380,0.4825,0.1651,-0.1026,-0.1135,-0.1043,-0.3591,-0.1761,-0.1455,2023,330000,332000,2023-09-15,2001-06-27,Argentina,NA,NA,NA
xW5pygjdqg,Jalen Neal,LAG,LA Galaxy,LA Galaxy,CB,1431,0.0911,-0.1265,1.4001,0.8792,0.1611,0.0660,0.0632,0.0225,0.2927,0.0977,-0.1551,-0.0941,2023,125000,138625,2023-09-15,2003-08-24,USA,6,1,146
xW5pyPEYqg,Erik Duenas,LAFC,Los Angeles FC,Los Angeles FC,CM,882,-0.2477,-0.0804,0.8499,0.0023,0.3244,0.2394,-0.3393,-0.0609,0.2238,-0.3390,-0.0041,0.0436,2023,125000,127000,2023-09-15,2004-10-18,USA,5,4,119
xW5pyrwKqg,Obinna Nwobodo,CIN,Cincinnati,FC Cincinnati,CM,3092,0.3708,-0.2656,3.5198,0.6089,0.4015,0.3195,0.0972,-0.2515,1.3911,-0.4188,-0.9494,-0.4810,2023,1155000,1289400,2023-09-15,1996-11-29,Nigeria,5,11,NA
xW5pyyaJqg,Braian Ojeda,RSL,Salt Lake,Real Salt Lake,CM,2708,0.0079,-0.0226,0.7309,1.0964,0.4336,0.8240,-0.2377,-0.0002,-1.1550,0.1614,-0.7082,0.1424,2023,590000,648653,2023-09-15,2000-06-27,Paraguay,5,8,152
zeQZ7DJzMK,Tristan Muyumba Nkita,ATL,Atlanta,Atlanta United FC,DM,1123,0.0506,-0.1224,1.2495,-0.2071,0.8720,0.1988,-0.0702,-0.0809,0.3991,-0.7057,0.5297,-0.0219,2023,450000,491600,2023-09-15,1997-07-03,France,NA,NA,NA
zeQZJ63xQK,Dixon Arroyo,MIA,Miami,Inter Miami CF,CM,1977,-0.6172,-0.0539,1.7921,0.4413,0.1078,0.2642,-0.8073,-0.0192,0.3765,-0.3041,-0.6515,-0.1983,2023,150000,297708,2023-09-15,1992-06-01,Ecuador,5,10,161
zeQZJ7YgQK,Rudy Camacho,CLB,Columbus,Columbus Crew,CB,3284,0.2853,-0.2522,2.4949,2.5536,0.3815,0.2620,0.2032,0.0625,-0.0224,0.8195,-0.4044,-0.1458,2023,500000,554000,2023-09-15,1991-03-05,France,6,1,174
zeQZjOPjQK,Daniel Aguirre,LAG,LA Galaxy,LA Galaxy,W,707,-0.3517,0.0504,0.5349,0.0199,1.3533,0.4788,-0.4333,0.0300,0.1141,-0.1272,0.8571,0.2312,2023,85444,85444,2023-09-15,1999-07-28,USA,5,10,159
zeQZjOxDQK,Machop Chol,ATL,Atlanta,Atlanta United FC,W,575,0.1760,-0.2140,0.1253,-0.2566,0.6161,0.3128,0.1351,-0.2579,-0.1612,-0.3150,0.0009,0.0386,2023,89716,89716,2023-09-15,1998-11-14,USA,NA,NA,NA
zeQZJX1KQK,Zarek Valentin,MIN,Minnesota,Minnesota United FC,FB,1457,0.0384,-0.0301,0.7874,1.0886,0.0453,0.0000,-0.0804,0.0269,-0.1221,0.4986,-0.3407,-0.2046,2023,85444,85444,2023-09-15,1991-08-06,USA,5,11,157
zeQZJX6KQK,Victor Ulloa,MIA,Miami,Inter Miami CF,CM,210,-0.0190,-0.0026,-0.1002,0.0297,0.0176,0.0000,-0.0335,-0.0059,-0.2355,-0.0302,-0.1153,-0.0674,2023,250000,250000,2023-09-15,1992-03-04,Mexico,6,0,165
zeQZJxR1QK,Eric Miller,POR,Portland,Portland Timbers FC,FB,1359,-0.0577,-0.0315,0.7973,0.6164,0.0725,0.0005,-0.1610,0.0362,-0.0717,0.0535,-0.2355,-0.1632,2023,120000,135000,2023-09-15,1993-01-15,USA,6,0,176
zeQZkkOjMK,Chris Rindov,SKC,Kansas City,Sporting Kansas City,CB,13,-0.0015,0.0000,0.0271,0.0211,-0.0002,0.0000,-0.0017,0.0014,0.0171,0.0140,-0.0030,-0.0015,2023,67360,67360,2023-09-15,2001-10-08,USA,6,2,190
zeQZX6OY5K,Diego Palacios,LAFC,Los Angeles FC,Los Angeles FC,FB,3206,0.0571,-0.5608,3.2564,1.3942,0.7309,0.1974,-0.1908,-0.4087,1.2100,0.0821,-0.0168,-0.2027,2023,540000,564000,2023-09-15,1999-07-12,Ecuador,5,7,NA
zeQZXlXx5K,Collin Smith,FCD,Dallas,FC Dallas,FB,113,-0.0462,-0.0010,0.0310,0.0424,0.0030,0.0000,-0.0612,-0.0038,-0.0317,0.0185,-0.0696,-0.0358,2023,130000,135000,2023-09-15,2003-12-04,USA,5,11,161
zeQZXr4g5K,Franco Ibarra,ATL,Atlanta,Atlanta United FC,DM,1905,-0.0511,-0.0824,1.5828,0.5919,0.1845,0.1874,-0.2519,-0.0405,0.2003,-0.1582,-0.5288,-0.2466,2023,550000,620000,2023-09-15,2001-04-28,Argentina,5,9,152
